image,label
data\BUS-CoT\000187.png,1
data\BUS-CoT\000188.png,2
data\BUS-CoT\000189.png,2
data\BUS-CoT\000190.png,2
data\BUS-CoT\000191.png,2
data\BUS-CoT\000192.png,2
data\BUS-CoT\000193.png,2
data\BUS-CoT\000194.png,1
data\BUS-CoT\000195.png,1
data\BUS-CoT\000196.png,1
data\BUS-CoT\000197.png,1
data\BUS-CoT\000198.png,2
data\BUS-CoT\000199.png,2
data\BUS-CoT\000200.png,1
data\BUS-CoT\000201.png,1
data\BUS-CoT\000202.png,1
data\BUS-CoT\000203.png,1
data\BUS-CoT\000204.png,1
data\BUS-CoT\000205.png,1
data\BUS-CoT\000206.png,1
data\BUS-CoT\000207.png,1
data\BUS-CoT\000208.png,1
data\BUS-CoT\000209.png,2
data\BUS-CoT\000210.png,2
data\BUS-CoT\000211.png,1
data\BUS-CoT\000212.png,1
data\BUS-CoT\000213.png,2
data\BUS-CoT\000214.png,2
data\BUS-CoT\000215.png,2
data\BUS-CoT\000216.png,2
data\BUS-CoT\000217.png,2
data\BUS-CoT\000218.png,1
data\BUS-CoT\000219.png,1
data\BUS-CoT\000220.png,2
data\BUS-CoT\000221.png,2
data\BUS-CoT\000222.png,1
data\BUS-CoT\000223.png,1
data\BUS-CoT\000224.png,1
data\BUS-CoT\000225.png,1
data\BUS-CoT\000226.png,2
data\BUS-CoT\000227.png,1
data\BUS-CoT\000228.png,1
data\BUS-CoT\000229.png,1
data\BUS-CoT\000230.png,1
data\BUS-CoT\000231.png,2
data\BUS-CoT\000232.png,2
data\BUS-CoT\000233.png,1
data\BUS-CoT\000234.png,1
data\BUS-CoT\000235.png,2
data\BUS-CoT\000236.png,1
data\BUS-CoT\000237.png,1
data\BUS-CoT\000238.png,2
data\BUS-CoT\000239.png,2
data\BUS-CoT\000240.png,2
data\BUS-CoT\000241.png,2
data\BUS-CoT\000242.png,1
data\BUS-CoT\000243.png,1
data\BUS-CoT\000244.png,2
data\BUS-CoT\000245.png,2
data\BUS-CoT\000246.png,2
data\BUS-CoT\000247.png,2
data\BUS-CoT\000248.png,2
data\BUS-CoT\000249.png,2
data\BUS-CoT\000250.png,1
data\BUS-CoT\000251.png,1
data\BUS-CoT\000252.png,2
data\BUS-CoT\000253.png,2
data\BUS-CoT\000254.png,1
data\BUS-CoT\000255.png,1
data\BUS-CoT\000256.png,1
data\BUS-CoT\000257.png,1
data\BUS-CoT\000258.png,1
data\BUS-CoT\000259.png,1
data\BUS-CoT\000260.png,1
data\BUS-CoT\000261.png,2
data\BUS-CoT\000262.png,2
data\BUS-CoT\000263.png,1
data\BUS-CoT\000264.png,1
data\BUS-CoT\000265.png,2
data\BUS-CoT\000266.png,2
data\BUS-CoT\000267.png,1
data\BUS-CoT\000268.png,1
data\BUS-CoT\000269.png,1
data\BUS-CoT\000270.png,1
data\BUS-CoT\000271.png,1
data\BUS-CoT\000272.png,1
data\BUS-CoT\000273.png,2
data\BUS-CoT\000274.png,2
data\BUS-CoT\000275.png,1
data\BUS-CoT\000276.png,1
data\BUS-CoT\000277.png,1
data\BUS-CoT\000278.png,1
data\BUS-CoT\000279.png,1
data\BUS-CoT\000280.png,1
data\BUS-CoT\000281.png,1
data\BUS-CoT\000282.png,1
data\BUS-CoT\000283.png,1
data\BUS-CoT\000284.png,1
data\BUS-CoT\000285.png,1
data\BUS-CoT\000286.png,1
data\BUS-CoT\000287.png,1
data\BUS-CoT\000288.png,1
data\BUS-CoT\000289.png,1
data\BUS-CoT\000290.png,1
data\BUS-CoT\000291.png,1
data\BUS-CoT\000292.png,1
data\BUS-CoT\000293.png,1
data\BUS-CoT\000294.png,1
data\BUS-CoT\000295.png,1
data\BUS-CoT\000296.png,1
data\BUS-CoT\000297.png,1
data\BUS-CoT\000298.png,2
data\BUS-CoT\000299.png,2
data\BUS-CoT\000300.png,1
data\BUS-CoT\000301.png,1
data\BUS-CoT\000302.png,1
data\BUS-CoT\000303.png,1
data\BUS-CoT\000304.png,1
data\BUS-CoT\000305.png,1
data\BUS-CoT\000306.png,1
data\BUS-CoT\000307.png,1
data\BUS-CoT\000308.png,2
data\BUS-CoT\000309.png,2
data\BUS-CoT\000310.png,1
data\BUS-CoT\000311.png,1
data\BUS-CoT\000312.png,1
data\BUS-CoT\000313.png,1
data\BUS-CoT\000314.png,1
data\BUS-CoT\000315.png,1
data\BUS-CoT\000316.png,1
data\BUS-CoT\000317.png,2
data\BUS-CoT\000318.png,1
data\BUS-CoT\000319.png,1
data\BUS-CoT\000320.png,1
data\BUS-CoT\000321.png,1
data\BUS-CoT\000322.png,1
data\BUS-CoT\000323.png,1
data\BUS-CoT\000324.png,1
data\BUS-CoT\000325.png,2
data\BUS-CoT\000326.png,2
data\BUS-CoT\000327.png,1
data\BUS-CoT\000328.png,1
data\BUS-CoT\000329.png,1
data\BUS-CoT\000330.png,1
data\BUS-CoT\000331.png,1
data\BUS-CoT\000332.png,1
data\BUS-CoT\000333.png,1
data\BUS-CoT\000334.png,1
data\BUS-CoT\000335.png,1
data\BUS-CoT\000336.png,1
data\BUS-CoT\000337.png,1
data\BUS-CoT\000338.png,1
data\BUS-CoT\000339.png,2
data\BUS-CoT\000340.png,2
data\BUS-CoT\000341.png,2
data\BUS-CoT\000342.png,2
data\BUS-CoT\000343.png,1
data\BUS-CoT\000344.png,1
data\BUS-CoT\000345.png,2
data\BUS-CoT\000346.png,2
data\BUS-CoT\000347.png,1
data\BUS-CoT\000348.png,1
data\BUS-CoT\000349.png,1
data\BUS-CoT\000350.png,1
data\BUS-CoT\000351.png,2
data\BUS-CoT\000352.png,1
data\BUS-CoT\000353.png,1
data\BUS-CoT\000354.png,1
data\BUS-CoT\000355.png,1
data\BUS-CoT\000356.png,1
data\BUS-CoT\000357.png,1
data\BUS-CoT\000358.png,1
data\BUS-CoT\000359.png,2
data\BUS-CoT\000360.png,1
data\BUS-CoT\000361.png,1
data\BUS-CoT\000362.png,1
data\BUS-CoT\000363.png,1
data\BUS-CoT\000364.png,1
data\BUS-CoT\000365.png,1
data\BUS-CoT\000366.png,1
data\BUS-CoT\000367.png,1
data\BUS-CoT\000368.png,1
data\BUS-CoT\000369.png,1
data\BUS-CoT\000370.png,1
data\BUS-CoT\000371.png,1
data\BUS-CoT\000372.png,1
data\BUS-CoT\000373.png,1
data\BUS-CoT\000374.png,2
data\BUS-CoT\000375.png,2
data\BUS-CoT\000376.png,2
data\BUS-CoT\000377.png,2
data\BUS-CoT\000378.png,1
data\BUS-CoT\000379.png,1
data\BUS-CoT\000380.png,1
data\BUS-CoT\000381.png,1
data\BUS-CoT\000382.png,1
data\BUS-CoT\000383.png,1
data\BUS-CoT\000384.png,1
data\BUS-CoT\000385.png,2
data\BUS-CoT\000386.png,2
data\BUS-CoT\000387.png,1
data\BUS-CoT\000388.png,1
data\BUS-CoT\000389.png,1
data\BUS-CoT\000390.png,1
data\BUS-CoT\000391.png,1
data\BUS-CoT\000392.png,1
data\BUS-CoT\000393.png,1
data\BUS-CoT\000394.png,1
data\BUS-CoT\000395.png,1
data\BUS-CoT\000396.png,1
data\BUS-CoT\000397.png,1
data\BUS-CoT\000398.png,1
data\BUS-CoT\000399.png,1
data\BUS-CoT\000400.png,1
data\BUS-CoT\000401.png,1
data\BUS-CoT\000402.png,1
data\BUS-CoT\000403.png,1
data\BUS-CoT\000404.png,1
data\BUS-CoT\000405.png,1
data\BUS-CoT\000406.png,1
data\BUS-CoT\000407.png,1
data\BUS-CoT\000408.png,1
data\BUS-CoT\000409.png,1
data\BUS-CoT\000410.png,1
data\BUS-CoT\000411.png,1
data\BUS-CoT\000412.png,1
data\BUS-CoT\000413.png,1
data\BUS-CoT\000414.png,1
data\BUS-CoT\000415.png,1
data\BUS-CoT\000416.png,1
data\BUS-CoT\000417.png,1
data\BUS-CoT\000418.png,1
data\BUS-CoT\000419.png,1
data\BUS-CoT\000420.png,1
data\BUS-CoT\000421.png,1
data\BUS-CoT\000422.png,1
data\BUS-CoT\000423.png,1
data\BUS-CoT\000424.png,1
data\BUS-CoT\000425.png,1
data\BUS-CoT\000426.png,1
data\BUS-CoT\000427.png,1
data\BUS-CoT\000428.png,1
data\BUS-CoT\000429.png,1
data\BUS-CoT\000430.png,1
data\BUS-CoT\000431.png,1
data\BUS-CoT\000432.png,1
data\BUS-CoT\000433.png,1
data\BUS-CoT\000434.png,1
data\BUS-CoT\000435.png,1
data\BUS-CoT\000436.png,1
data\BUS-CoT\000437.png,1
data\BUS-CoT\000438.png,1
data\BUS-CoT\000439.png,1
data\BUS-CoT\000440.png,1
data\BUS-CoT\000441.png,1
data\BUS-CoT\000442.png,1
data\BUS-CoT\000443.png,1
data\BUS-CoT\000444.png,1
data\BUS-CoT\000445.png,1
data\BUS-CoT\000446.png,1
data\BUS-CoT\000447.png,1
data\BUS-CoT\000448.png,1
data\BUS-CoT\000449.png,1
data\BUS-CoT\000450.png,1
data\BUS-CoT\000451.png,1
data\BUS-CoT\000452.png,1
data\BUS-CoT\000453.png,1
data\BUS-CoT\000454.png,2
data\BUS-CoT\000455.png,2
data\BUS-CoT\000456.png,1
data\BUS-CoT\000457.png,1
data\BUS-CoT\000458.png,1
data\BUS-CoT\000459.png,1
data\BUS-CoT\000460.png,1
data\BUS-CoT\000461.png,1
data\BUS-CoT\000462.png,1
data\BUS-CoT\000463.png,1
data\BUS-CoT\000464.png,2
data\BUS-CoT\000465.png,2
data\BUS-CoT\000466.png,1
data\BUS-CoT\000467.png,1
data\BUS-CoT\000468.png,1
data\BUS-CoT\000469.png,1
data\BUS-CoT\000470.png,2
data\BUS-CoT\000471.png,2
data\BUS-CoT\000472.png,1
data\BUS-CoT\000473.png,1
data\BUS-CoT\000474.png,1
data\BUS-CoT\000475.png,1
data\BUS-CoT\000476.png,1
data\BUS-CoT\000477.png,1
data\BUS-CoT\000478.png,1
data\BUS-CoT\000479.png,1
data\BUS-CoT\000480.png,1
data\BUS-CoT\000481.png,1
data\BUS-CoT\000482.png,1
data\BUS-CoT\000483.png,1
data\BUS-CoT\000484.png,2
data\BUS-CoT\000485.png,2
data\BUS-CoT\000486.png,1
data\BUS-CoT\000487.png,1
data\BUS-CoT\000488.png,1
data\BUS-CoT\000489.png,1
data\BUS-CoT\000490.png,1
data\BUS-CoT\000491.png,1
data\BUS-CoT\000492.png,1
data\BUS-CoT\000493.png,2
data\BUS-CoT\000494.png,2
data\BUS-CoT\000495.png,1
data\BUS-CoT\000496.png,1
data\BUS-CoT\000497.png,1
data\BUS-CoT\000498.png,1
data\BUS-CoT\000499.png,1
data\BUS-CoT\000500.png,1
data\BUS-CoT\000501.png,1
data\BUS-CoT\000502.png,1
data\BUS-CoT\000503.png,2
data\BUS-CoT\000504.png,2
data\BUS-CoT\000505.png,1
data\BUS-CoT\000506.png,1
data\BUS-CoT\000507.png,1
data\BUS-CoT\000508.png,1
data\BUS-CoT\000509.png,2
data\BUS-CoT\000510.png,2
data\BUS-CoT\000511.png,1
data\BUS-CoT\000512.png,1
data\BUS-CoT\000513.png,1
data\BUS-CoT\000514.png,1
data\BUS-CoT\000515.png,1
data\BUS-CoT\000516.png,1
data\BUS-CoT\000517.png,1
data\BUS-CoT\000518.png,1
data\BUS-CoT\000519.png,1
data\BUS-CoT\000520.png,1
data\BUS-CoT\000521.png,1
data\BUS-CoT\000522.png,1
data\BUS-CoT\000523.png,1
data\BUS-CoT\000524.png,2
data\BUS-CoT\000525.png,1
data\BUS-CoT\000526.png,1
data\BUS-CoT\000527.png,1
data\BUS-CoT\000528.png,1
data\BUS-CoT\000529.png,1
data\BUS-CoT\000530.png,1
data\BUS-CoT\000531.png,1
data\BUS-CoT\000532.png,1
data\BUS-CoT\000533.png,2
data\BUS-CoT\000534.png,2
data\BUS-CoT\000535.png,1
data\BUS-CoT\000536.png,1
data\BUS-CoT\000537.png,1
data\BUS-CoT\000538.png,1
data\BUS-CoT\000539.png,1
data\BUS-CoT\000540.png,1
data\BUS-CoT\000541.png,1
data\BUS-CoT\000542.png,1
data\BUS-CoT\000543.png,1
data\BUS-CoT\000544.png,1
data\BUS-CoT\000545.png,1
data\BUS-CoT\000546.png,1
data\BUS-CoT\000547.png,2
data\BUS-CoT\000548.png,2
data\BUS-CoT\000549.png,1
data\BUS-CoT\000550.png,1
data\BUS-CoT\000551.png,1
data\BUS-CoT\000552.png,1
data\BUS-CoT\000553.png,1
data\BUS-CoT\000554.png,1
data\BUS-CoT\000555.png,2
data\BUS-CoT\000556.png,2
data\BUS-CoT\000557.png,2
data\BUS-CoT\000558.png,2
data\BUS-CoT\000559.png,1
data\BUS-CoT\000560.png,1
data\BUS-CoT\000561.png,1
data\BUS-CoT\000562.png,1
data\BUS-CoT\000563.png,1
data\BUS-CoT\000564.png,1
data\BUS-CoT\000565.png,1
data\BUS-CoT\000566.png,1
data\BUS-CoT\000567.png,1
data\BUS-CoT\000568.png,1
data\BUS-CoT\000569.png,1
data\BUS-CoT\000570.png,1
data\BUS-CoT\000571.png,2
data\BUS-CoT\000572.png,2
data\BUS-CoT\000573.png,1
data\BUS-CoT\000574.png,1
data\BUS-CoT\000576.png,2
data\BUS-CoT\000577.png,1
data\BUS-CoT\000578.png,1
data\BUS-CoT\000579.png,1
data\BUS-CoT\000580.png,1
data\BUS-CoT\000581.png,2
data\BUS-CoT\000582.png,2
data\BUS-CoT\000583.png,2
data\BUS-CoT\000584.png,2
data\BUS-CoT\000585.png,1
data\BUS-CoT\000586.png,1
data\BUS-CoT\000587.png,2
data\BUS-CoT\000588.png,2
data\BUS-CoT\000589.png,2
data\BUS-CoT\000590.png,2
data\BUS-CoT\000591.png,2
data\BUS-CoT\000592.png,1
data\BUS-CoT\000593.png,1
data\BUS-CoT\000594.png,1
data\BUS-CoT\000595.png,1
data\BUS-CoT\000596.png,2
data\BUS-CoT\000597.png,2
data\BUS-CoT\000598.png,2
data\BUS-CoT\000599.png,2
data\BUS-CoT\000600.png,2
data\BUS-CoT\000601.png,2
data\BUS-CoT\000602.png,1
data\BUS-CoT\000603.png,1
data\BUS-CoT\000604.png,2
data\BUS-CoT\000605.png,2
data\BUS-CoT\000606.png,1
data\BUS-CoT\000607.png,1
data\BUS-CoT\000608.png,1
data\BUS-CoT\000609.png,1
data\BUS-CoT\000610.png,2
data\BUS-CoT\000611.png,2
data\BUS-CoT\000612.png,1
data\BUS-CoT\000613.png,1
data\BUS-CoT\000614.png,2
data\BUS-CoT\000615.png,2
data\BUS-CoT\000616.png,2
data\BUS-CoT\000617.png,2
data\BUS-CoT\000618.png,2
data\BUS-CoT\000619.png,2
data\BUS-CoT\000620.png,2
data\BUS-CoT\000621.png,2
data\BUS-CoT\000622.png,2
data\BUS-CoT\000623.png,2
data\BUS-CoT\000624.png,1
data\BUS-CoT\000625.png,1
data\BUS-CoT\000626.png,2
data\BUS-CoT\000627.png,2
data\BUS-CoT\000628.png,1
data\BUS-CoT\000629.png,1
data\BUS-CoT\000630.png,1
data\BUS-CoT\000631.png,1
data\BUS-CoT\000632.png,2
data\BUS-CoT\000633.png,2
data\BUS-CoT\000634.png,2
data\BUS-CoT\000635.png,2
data\BUS-CoT\000636.png,2
data\BUS-CoT\000637.png,2
data\BUS-CoT\000638.png,2
data\BUS-CoT\000639.png,2
data\BUS-CoT\000640.png,2
data\BUS-CoT\000641.png,2
data\BUS-CoT\000642.png,2
data\BUS-CoT\000643.png,2
data\BUS-CoT\000644.png,2
data\BUS-CoT\000645.png,2
data\BUS-CoT\000646.png,2
data\BUS-CoT\000647.png,2
data\BUS-CoT\000648.png,2
data\BUS-CoT\000649.png,2
data\BUS-CoT\000650.png,2
data\BUS-CoT\000651.png,2
data\BUS-CoT\000652.png,2
data\BUS-CoT\000653.png,2
data\BUS-CoT\000654.png,2
data\BUS-CoT\000655.png,2
data\BUS-CoT\000656.png,2
data\BUS-CoT\000657.png,2
data\BUS-CoT\000658.png,2
data\BUS-CoT\000659.png,1
data\BUS-CoT\000660.png,1
data\BUS-CoT\000661.png,2
data\BUS-CoT\000662.png,2
data\BUS-CoT\000663.png,2
data\BUS-CoT\000664.png,2
data\BUS-CoT\000665.png,1
data\BUS-CoT\000666.png,1
data\BUS-CoT\000667.png,1
data\BUS-CoT\000668.png,1
data\BUS-CoT\000669.png,1
data\BUS-CoT\000670.png,1
data\BUS-CoT\000671.png,1
data\BUS-CoT\000672.png,1
data\BUS-CoT\000673.png,1
data\BUS-CoT\000674.png,1
data\BUS-CoT\000675.png,2
data\BUS-CoT\000676.png,2
data\BUS-CoT\000677.png,2
data\BUS-CoT\000678.png,2
data\BUS-CoT\000679.png,2
data\BUS-CoT\000680.png,2
data\BUS-CoT\000681.png,2
data\BUS-CoT\000682.png,1
data\BUS-CoT\000683.png,1
data\BUS-CoT\000684.png,1
data\BUS-CoT\000685.png,1
data\BUS-CoT\000686.png,1
data\BUS-CoT\000687.png,1
data\BUS-CoT\000688.png,1
data\BUS-CoT\000689.png,1
data\BUS-CoT\000690.png,1
data\BUS-CoT\000691.png,1
data\BUS-CoT\000692.png,2
data\BUS-CoT\000693.png,2
data\BUS-CoT\000694.png,1
data\BUS-CoT\000695.png,1
data\BUS-CoT\000696.png,1
data\BUS-CoT\000697.png,1
data\BUS-CoT\000698.png,2
data\BUS-CoT\000699.png,2
data\BUS-CoT\000700.png,2
data\BUS-CoT\000701.png,2
data\BUS-CoT\000702.png,1
data\BUS-CoT\000703.png,1
data\BUS-CoT\000704.png,1
data\BUS-CoT\000705.png,1
data\BUS-CoT\000706.png,1
data\BUS-CoT\000707.png,1
data\BUS-CoT\000708.png,1
data\BUS-CoT\000709.png,1
data\BUS-CoT\000710.png,1
data\BUS-CoT\000711.png,1
data\BUS-CoT\000712.png,1
data\BUS-CoT\000713.png,2
data\BUS-CoT\000714.png,2
data\BUS-CoT\000715.png,1
data\BUS-CoT\000716.png,1
data\BUS-CoT\000717.png,1
data\BUS-CoT\000718.png,1
data\BUS-CoT\000719.png,1
data\BUS-CoT\000720.png,1
data\BUS-CoT\000721.png,2
data\BUS-CoT\000722.png,2
data\BUS-CoT\000723.png,2
data\BUS-CoT\000724.png,1
data\BUS-CoT\000725.png,1
data\BUS-CoT\000726.png,1
data\BUS-CoT\000727.png,1
data\BUS-CoT\000728.png,1
data\BUS-CoT\000729.png,1
data\BUS-CoT\000730.png,1
data\BUS-CoT\000731.png,1
data\BUS-CoT\000732.png,1
data\BUS-CoT\000733.png,1
data\BUS-CoT\000734.png,1
data\BUS-CoT\000735.png,1
data\BUS-CoT\000736.png,2
data\BUS-CoT\000737.png,2
data\BUS-CoT\000738.png,1
data\BUS-CoT\000739.png,1
data\BUS-CoT\000740.png,1
data\BUS-CoT\000741.png,1
data\BUS-CoT\000742.png,1
data\BUS-CoT\000743.png,2
data\BUS-CoT\000744.png,2
data\BUS-CoT\000745.png,1
data\BUS-CoT\000746.png,1
data\BUS-CoT\000747.png,1
data\BUS-CoT\000748.png,1
data\BUS-CoT\000749.png,1
data\BUS-CoT\000750.png,1
data\BUS-CoT\000751.png,2
data\BUS-CoT\000752.png,2
data\BUS-CoT\000753.png,2
data\BUS-CoT\000754.png,2
data\BUS-CoT\000755.png,2
data\BUS-CoT\000756.png,2
data\BUS-CoT\000757.png,2
data\BUS-CoT\000758.png,1
data\BUS-CoT\000759.png,1
data\BUS-CoT\000760.png,2
data\BUS-CoT\000761.png,1
data\BUS-CoT\000762.png,1
data\BUS-CoT\000763.png,2
data\BUS-CoT\000764.png,2
data\BUS-CoT\000765.png,1
data\BUS-CoT\000766.png,1
data\BUS-CoT\000767.png,2
data\BUS-CoT\000768.png,2
data\BUS-CoT\000769.png,2
data\BUS-CoT\000770.png,2
data\BUS-CoT\000771.png,2
data\BUS-CoT\000772.png,2
data\BUS-CoT\000773.png,2
data\BUS-CoT\000774.png,1
data\BUS-CoT\000775.png,1
data\BUS-CoT\000776.png,2
data\BUS-CoT\000777.png,2
data\BUS-CoT\000778.png,2
data\BUS-CoT\000779.png,2
data\BUS-CoT\000780.png,2
data\BUS-CoT\000781.png,2
data\BUS-CoT\000782.png,1
data\BUS-CoT\000783.png,1
data\BUS-CoT\000784.png,2
data\BUS-CoT\000785.png,2
data\BUS-CoT\000786.png,1
data\BUS-CoT\000787.png,1
data\BUS-CoT\000788.png,2
data\BUS-CoT\000789.png,2
data\BUS-CoT\000790.png,2
data\BUS-CoT\000791.png,2
data\BUS-CoT\000792.png,2
data\BUS-CoT\000793.png,2
data\BUS-CoT\000794.png,2
data\BUS-CoT\000795.png,2
data\BUS-CoT\000796.png,2
data\BUS-CoT\000797.png,2
data\BUS-CoT\000798.png,1
data\BUS-CoT\000799.png,1
data\BUS-CoT\000800.png,1
data\BUS-CoT\000801.png,1
data\BUS-CoT\000802.png,1
data\BUS-CoT\000803.png,1
data\BUS-CoT\000804.png,1
data\BUS-CoT\000805.png,1
data\BUS-CoT\000806.png,1
data\BUS-CoT\000807.png,1
data\BUS-CoT\000808.png,1
data\BUS-CoT\000809.png,1
data\BUS-CoT\000810.png,1
data\BUS-CoT\000811.png,1
data\BUS-CoT\000812.png,1
data\BUS-CoT\000813.png,1
data\BUS-CoT\000814.png,1
data\BUS-CoT\000815.png,2
data\BUS-CoT\000816.png,2
data\BUS-CoT\000817.png,2
data\BUS-CoT\000818.png,2
data\BUS-CoT\000819.png,1
data\BUS-CoT\001630.png,1
data\BUS-CoT\001631.png,1
data\BUS-CoT\001632.png,1
data\BUS-CoT\001633.png,1
data\BUS-CoT\001634.png,1
